"id","department","code","customer","main_address","del_address","date","credit_limit","contact","line_business","years_business","capital_invested","registration","type_organization","terms","mode_payment","credit_request","officer","officer_address","depository","account","contact_person","bank_contact","tag_","encoded","sales_officer","pricelist","area","terms_details","custom1","manual_code","approval","main_code","shared_to","company","tin","card_no","category","birthdate","gender","fax","email","officer_contact_no","contact_person_contact_no","acctng_officer","acctng_officer_contact_no","invoice","dr","discount","receipt_qty","trucking_name","trucking_address","trucking_contact_no","trucking_remarks","trucking_name2","trucking_address2","trucking_contact_no2","trucking_remarks2","trucking_name3","trucking_address3","trucking_contact_no3","trucking_remarks3","option1","option2","option3","other_address1","commission_rate1","commission_rate2","contact_person_email","print_no_price","contact_tel_no","acctng_contact_person","acctng_contact_number","acctng_email","owner_contact_person","owner_contact_number","owner_email","second_address","group_code","type_code","customer_type","agent_commission","remarks","inactive","order_days"
"2",,"1","11TH HOUR TRADING","SAN VICENTE,TARLAC CITY C/O PROVINCIAL GOVERNMENT OF TARLAC ",,"0000-00-00",,,,,,,,"60",,,,,,,,,,"DEL MUNDO, JEFFREY CAPARAS - 30 May 2023 10:17:16","PHI0001","PP",,"60 DAYS",,,,,,,,,,"0000-00-00",,,,,,,,,"YES",,,"OCEANIC SHIPPING LINE ",,,"LOOK FOR TRUCKIN",,,,,,,,,,,,,,,,,,,,,,,,,,,,"5",,,"30"
"3",,"2","143 HOUSEWARE","DUMAGUETE CITY",,"0000-00-00",,"(035) 225-7450/ 0905-6948558",,,,,,"120",,,,,,,,,,"FLORES, SHIELA MARIE  - 03 November 2022 10:00:53","DELFIN","PP",,"120 DAYS",,,,,,,,,,"0000-00-00",,"035-225-7450","ikerichiejr@yahoo.com.ph / kerox143@yahoo.com.ph",,"035-225-7450",,,,"YES","LESS 10 %","3 SETS W/ P.O","GOLD LINK ","1222 MAYHALIGUE ST COR OROQUITO ST STA CRUZ MANILA ",,,,,,,,,,,,,,,"5%",,,,,,,,,,,,,,,"5",,,"30"
"4",,"3","168 GRAND MEGA SALES CENTER","MCU  YOBANGCO STAR MALL, PUTILC H-WAY,ZAMBOANGA CITY",,"0000-00-00",,"062-984-2679",,,,,,"120",,,,,,,"BETH LIM",,,"FLORES, SHIELA MARIE  - 03 November 2022 10:01:19","NARESH","PP",,"120 DAYS",,,,,,,,,,"0000-00-00",,,,,"062-984-2679",,,,"YES",,"3 SETS W/ P.O","CUBIC CARGO","BLK.41 PHASE III-E2 BRGY. LONGOS, PAMPANO ST. DAGAT-DAGATAN MALABON",,,"LDG TRUCKING","351 MUELLE DE BINONDO ",,,"GOLD LINK","1222 MAYHALIGUE ST., COR., OROQUITO ST, STA. CRUZ, MANILA",,,,,,,"5%",,,,,,,,,,,,,,,"5",,,"30"
"5",,"4","2 FRIENDS FASHION SHOPPE","CATBALOGAN, SAMAR",,"0000-00-00",,,,,,,,,,,,,,,,,,"FLORES, SHIELA MARIE  - 03 November 2022 10:02:54","NARESH","PP",,,,,,,,,,,,"0000-00-00",,,,,,,,,"YES",,"3 SETS W/ P.O","LDG TRUCKING"," 351 MUELLE DE BINONDO ","241-3717 ",,"DIRECT DELIVER ","MEYCAUAYAN PUBLIC MARKET(MAIN/LUMANG MARKET) @ THE BACK OF NEW MARKET",,,,,,,,,,,"5%",,,,,,,,,,,,,,,"5",,,"30"
"6",,"5","3MBR GENERAL MERCHANDISE","MEYCAUAYAN, BULACAN",,"0000-00-00",,"0925-701-3059/0916-697-5014",,,,,,"120",,,,,,,,,,"FLORES, SHIELA MARIE  - 03 November 2022 10:03:17","JEORGE","PP",,"120 DAYS",,,,,,,,,,"0000-00-00",,,,,,,,,"YES",,"2 SETS W/ P.O","DIRECTLY DELIVER TO STORE","MEYCAUAYAN PUBLIC MARKET(MAIN/LUMANG MARKET) @ THE BACK OF NEW MARKET",,,,,,,,,,,,,,,"5%",,,,,,,,,,,,,,,"5",,,"30"
"7",,"6","5 SISTERS EMPORIUM","G/F ISABEL BLDG II F.R. CASTRO AVE.  LAOAG CITY",,"0000-00-00",,"077-773-2800/772-02-61",,,,,,"120",,,"GLORIA CARAG",,,,"MS.EVELYN JOSE/ROSE",,,"FLORES, SHIELA MARIE  - 03 November 2022 10:04:29","DELFIN","PP",,"120 DAYS",,,,,,,"001-229-349-000",,,"0000-00-00",,"770-5070","fivesistersemporium@yahoo.com / fivesmis@gmail.com",,"077-773-2800/772-0060/771-5676",,,,"YES","LESS 10%","2 SETS W/ P.O","WILLIAM TRUCKING ","CALOOCAN CITY/ 6TH STREET BETWEEN 10TH AND GRACE PARK, 139 11TH AVE, BAGUMBAYAN, CALOOCAN, METRO MANILA, PHILIPPINES",,,,,,,,,,,,,,,"5%",,,,,,,,,,,,,,,"5",,,"30"
"8",,"7","578 RESOURCES INC.","M.H. DEL PILAR ST. TACLOBAN",,"0000-00-00",,"321-2548",,,,,,,,,,,,,,,,"FLORES, SHIELA MARIE  - 03 November 2022 09:43:06","LEO",,,,,,,,,,,,,"0000-00-00",,"321-2548",,,,,,,"YES",,"3 SETS W/ P.O","COASTAL CARGO FORWARDER "," 2522 RODRIGUEZ ST. BALOT TONDO, MANILA   ","09238150770","LOOK FOR MS. MAY ","JNJ TRUCKING","1550 ANDALUCIA ST. COR. LAON LAAN ST. STA. CRUZ MANILA ",,,,,,,,,,,"5%",,,,,,,,,,,,,,,"5",,,"30"
"9",,"8","888 MARKETING","ILOILO CITY",,"0000-00-00",,"0922-818-2208/0932-775-2627/ 0932-775-2623 (VIBER)",,,,,,"120",,,,,,,"MS.RUBY/TERESITA LO",,,"FLORES, SHIELA MARIE  - 03 November 2022 10:01:56","DELFIN","PP",,"120 DAYS",,,,,,,,,,"0000-00-00",,,,,"033-509-8588",,,,"YES","LESS 5%","3 SETS W/ P.O","COASTAL CARGO FORWARDER "," 2522 RODRIGUEZ ST. BALOT TONDO, MANILA   ","363-7855/363-8655/411-5373/399-5193/MS. MAY 09238150770","LOOK FOR MS. MAY","LDG TRUCKING",,,,,,,,,,,,"5%",,,,,,,,,,,,,,,"5",,,"30"
"10",,"9","A. SALES STORE","CATBALOGAN, SAMAR",,"0000-00-00",,,,,,,,"120",,,,,,,,,,"FLORES, SHIELA MARIE  - 03 November 2022 09:52:39","NARESH","PP",,"120 DAYS",,,,,,,,,,"0000-00-00",,,,,,,,,"YES",,"3 SETS W/ P.O","SOLID SHIPPING LINES ","42 H.Lopez St., Navotas BALUT TONDO","0908-213-3872/MR. JORGE DAGOCDOCAN",,"LDG TRUCKING",,,,,,,,,,,,"5%",,,,,,,,,,,,,,,"5",,,"30"
"11",,"10","ACE CENTERPOINT","ROXAS COR. OSMENA STS.,CITY OF KORONADAL",,"0000-00-00",,"0920-921-9700/(083)2282-708-355/228-2355",,,,,,"120",,,"SONNY TAN LAO",,,,"MS.ROSE/JULIET TINGSON",,,"FLORES, SHIELA MARIE  - 03 November 2022 10:06:05","NARESH",,,"120 DAYS",,,,,,,"104-077-131-000",,,"0000-00-00",,"083-228-2958","acecenterpoint@gmail.com/acecenterpoint@yahoo.com","0920-921-9700","0920-921-700 /( 083) 2282-708-355/083-228-2355 loc 501 or 401/083-228-2828/083-228-2708083-228-2708","Michelle Pama",,"YES","YES",,"3 SETS W/ P.O","SOLD LINES- OWN CONTAINER","H.LOPEZ ST., NAVOTAS CITY","0908-213-3872/MR. JORGE DAGOCDOCAN",,,,,,,,,,,,,,"5%",,,,,,,,,,,,,,,"5",,,"30"
"12",,"11","ACERON MINI DRUGSTORE","2609 DONA BARBARA, BLDG. NEW PANADEROS ST.",,"0000-00-00",,,,,,,,,,,,,,,,,,"FLORES, SHIELA MARIE  - 03 November 2022 09:53:05","MISHA",,,,,,,,,,,,,"0000-00-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5",,,"30"
"13",,"12","ADOY ENTERPRISES","34 RAMON MAGSAYSAY AVE.,DAVAO CITY",,"0000-00-00",,"516-1642/354-1762 (082)222-9187 / 0917-722-9929",,,,,,"120",,,,,,,"ROSEMARY C. ANG",,,"FLORES, SHIELA MARIE  - 03 November 2022 10:07:28","NARESH","PP",,"120 DAYS",,,,,,,"141-745-539-000",,,"0000-00-00",,"082-222-9187","rosemary_adoy@yahoo.com",,"082-222-9187",,,,"YES","LESS 5%","WAYBILL","IBC TRUCKING (OLD) ","337 SAN FERNANDO ST. BINONDO"," 242-3880/244-6646/0922-890-6575-TESS",,"SOUTH SEA FORWARDER (NEW)","T.P. MARCELO COMPOUND 115 NORTHBAY BLVD, NAVOTAS CITY "," 283-6893/283-6894/283-6819",,,,,,,,,,"5%",,,,,,,,,,,,,,,"5",,,"30"
"14",,"13","AH SHOPPERS MART, INC.","COR. MARAPAO  J.S. TORRALBA ST.,TAGBILARAN CITY",,"0000-00-00",,"02-845-2026/02-844-6466/038-411-3625/ 0942-638-229",,,,,,"120",,,,,,,"LUCIA YU/MS.LUZ",,,"FLORES, SHIELA MARIE  - 04 November 2022 02:19:39","DELFIN","PP",,"120 DAYS",,,,,,,,,,"0000-00-00",,"384122556","mnlpurchasing.ahshoppersmart@gmail.com / payable.ahshoppersmart@gmail.com",,,,,,"YES","LESS 5%",,"CY7 SULPICIO LINE/ SEABORNE MANILA HARBOR ","H. LOPEZ LVD. BALOT, TONDO MANILA","038-412-2556/0932-295-4955-DANILO LAGATA /09338193959-JEFFREY JAMICA ","TUESDAY AND FRIDAY ONLY","PHIL.SPAN ASIA-CY7 SULPICIO LINE(OWN CONTAINER)","H. LOPEZ LVD. BALOT, TONDO MANILA","DANILO LAGATA -09483198460",,,,,,,,,,"5%",,,,,,,,,,,,,,,"5",,,"30"
"15",,"14","Aladdin Trade Center","Iloilo City",,"0000-00-00",,"516-1642/354-1762/033-337-2311/033-516-1642",,,,,,,,,,,,,,,,,"DELFIN",,,"Net 60",,,,,,,,,,"0000-00-00",,"033-516-6051",,,"354-2661/365-2661",,,,"YES",,"3 SETS W/ P.O","#31 SIMEON DE JESUS, SAN RAFAEL VILLAGE, NAVOTAS","#31 SIMEON DE JESUS, SAN RAFAEL VILLAGE, NAVOTAS","354-2661/365-2661",,,,,,,,,,,,,,"5%",,,,,,,,,,,,,,,"5",,,"30"
"16",,"15","ALFENORS GLASSWARE","LAOAG PUBLIC MARKET, MAKATI CITY",,"0000-00-00",,,,,,,,,,,,,,,,,,"FLORES, SHIELA MARIE  - 04 November 2022 02:20:04","JEORGE",,,,,,,,,,,,,"0000-00-00",,,,,,,,,"YES",,"3 SETS W/ P.O","DBA TRUCKING ",,,,,,,,,,,,,,,,"5%",,,,,,,,,,,,,,,"5",,,"30"
"17",,"16","ALI COMMERCIAL CENTER, INC","GF GLORIETTA 2 ADMIN OFFICE AYALA AVE.",,"0000-00-00",,,,,,,,,,,,,,,,,,"FLORES, SHIELA MARIE  - 04 November 2022 02:23:07","MISHA",,,,,,,,,,,,,"0000-00-00",,,,,,,,"YES","YES",,"2 SETS",,,,"DIRECT DELIVER ",,,,,,,,,,,,,,,,,,,,,,,,,,,,"5",,,"30"
"18",,"17","ALI MAKATI HOTEL PROPERTY INC.","1 RAFFLES DRIVE MAKATI AVE., MAKATI CITY",,"0000-00-00",,,,,,,,,,,,,,,,,,"FLORES, SHIELA MARIE  - 03 November 2022 10:17:42","MISHA",,,,,,,,,,,,,"0000-00-00",,,,,,,,"YES","YES",,"2 SETS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5",,,"30"
"19",,"18","ALL HOME CORP. - ANTIPOLO CITY","VISTA MALL ANTIPOLO CITY",,"0000-00-00",,,,,,,,,,,,,,,"KITCHEN WARE: MINA DADULA- / SHARALYN LUIS-GRANDA- GLASSWARE",,,"FLORES, SHIELA MARIE  - 03 November 2022 10:20:32","ANTHONY",,,,,,,,,,,,,"0000-00-00",,,,,"KITCHEN WARE: MINA DADULA- 0975-734-2543  Tel #: 880-1100 loc 2518/ Sharalyn Luis-Granda- Glassware-Cellphone #: +639351873736; +639212199226/ Telephone #: 830-1900 local 2431
",,,"YES",,"LESS 10%","3 SETS W/ P.O","WAREHOUSE ADD: BLDG.5 DHL LOGISTICS CENTRE, KM 17 WEST SERV. ROAD SOUTH SUP HI WAY BICUTAN PARANAQUE","SCHEDULE BEFORE DELIVER: 0919-0841785 MIMAI MERCADO",,,,,,,,,,,,,,,"1.50%",,"mdadula05.allhome@gmail.com /sharalyn.luis@allhome.ph",,,,,,,,,,,,,"5",,,"30"
"20",,"19","ALL HOME CORP. - CABANATUAN","CABANATUAN CITY, NUEVA ECIJA",,"0000-00-00",,,,,,,,,,,,,,,"KITCHEN WARE: MINA DADULA- / SHARALYN LUIS-GRANDA- GLASSWARE",,,"FLORES, SHIELA MARIE  - 04 November 2022 02:51:44","ANTHONY",,,,,,,,,,,,,"0000-00-00",,,,,"KITCHEN WARE: MINA DADULA- 0975-734-2543  Tel #: 880-1100 loc 2518/ Sharalyn Luis-Granda- Glassware-Cellphone #: +639351873736; +639212199226/ Telephone #: 830-1900 local 2431
",,,"YES",,"LESS 10%","3 SETS W/ P.O","WAREHOUSE ADD: BLDG.5 DHL LOGISTICS CENTRE, KM 17 WEST SERV. ROAD SOUTH SUP HI WAY BICUTAN PARANAQUE","SCHEDULE BEFORE DELIVER: 0919-0841785 MIMAI MERCADO",,,,,,,,,,,,,,,"1.50%",,"mdadula05.allhome@gmail.com /sharalyn.luis@allhome.ph",,,,,,,,,,,,,"5",,,"30"
"21",,"20","All Home Corp. - Naga","Maharlika Highway, Naga",,"0000-00-00",,,,,,,,,,,,,,,"KITCHEN WARE: MINA DADULA- / Sharalyn Luis-Granda- Glassware",,,,"ANTHONY",,,"Net 30",,,,,,,,,,"0000-00-00",,,,,"KITCHEN WARE: MINA DADULA- 0975-734-2543  Tel #: 880-1100 loc 2518/ Sharalyn Luis-Granda- Glassware-Cellphone #: +639351873736; +639212199226/ Telephone #: 830-1900 local 2431
",,,"YES",,"LESS 10%","3 SETS W/ P.O","WAREHOUSE ADD: BLDG.5 DHL LOGISTICS CENTRE, KM 17 WEST SERV. ROAD SOUTH SUP HI WAY BICUTAN PARANAQUE","SCHEDULE BEFORE DELIVER: 0919-0841785 MIMAI MERCADO",,,,,,,,,,,,,,,"1.50%",,"mdadula05.allhome@gmail.com /sharalyn.luis@allhome.ph",,,,,,,,,,,,,"5",,,"30"
"22",,"21","All Home Corp. - Allbuilders Dasma","Molino-Paliparan Rd. Brgy.S Dasmarinas",,"0000-00-00",,,,,,,,,,,,,,,"KITCHEN WARE: MINA DADULA- / Sharalyn Luis-Granda- Glassware",,,,"ANTHONY",,,"Net 60",,,,,,,,,,"0000-00-00",,,,,"KITCHEN WARE: MINA DADULA- 0975-734-2543  Tel #: 880-1100 loc 2518/ Sharalyn Luis-Granda- Glassware-Cellphone #: +639351873736; +639212199226/ Telephone #: 830-1900 local 2431
",,,"YES",,"LESS 10%","3 SETS W/ P.O","DIRECTLY DELIVER TO STORE",,,,,,,,,,,,,,,,"1.50%",,"mdadula05.allhome@gmail.com /sharalyn.luis@allhome.ph",,,,,,,,,,,,,"5",,,"30"
"23",,"22","ALL HOME CORP. - BATAAN ","BALANGA, BATAAN",,"0000-00-00",,,,,,,,,,,,,,,"KITCHEN WARE: MINA DADULA- / SHARALYN LUIS-GRANDA- GLASSWARE",,,"FLORES, SHIELA MARIE  - 04 November 2022 02:53:25","ANTHONY",,,,,,,,,,,,,"0000-00-00",,,,,"KITCHEN WARE: MINA DADULA- 0975-734-2543  Tel #: 880-1100 loc 2518/ Sharalyn Luis-Granda- Glassware-Cellphone #: +639351873736; +639212199226/ Telephone #: 830-1900 local 2431
",,,"YES",,"LESS 10%","3 SETS W/ P.O","WAREHOUSE ADD: BLDG.5 DHL LOGISTICS CENTRE, KM 17 WEST SERV. ROAD SOUTH SUP HI WAY BICUTAN PARANAQUE","SCHEDULE BEFORE DELIVER: 0919-0841785 MIMAI MERCADO",,,,,,,,,,,,,,,"1.50%",,"mdadula05.allhome@gmail.com /sharalyn.luis@allhome.ph",,,,,,,,,,,,,"5",,,"30"
"24",,"23","ALL HOME CORP. - CAGAYAN DE ORO","LIMKETKAI, CAGAYAN DE ORO CITY,",,"0000-00-00",,,,,,,,,,,,,,,"KITCHEN WARE: MINA DADULA- / SHARALYN LUIS-GRANDA- GLASSWARE",,,"FLORES, SHIELA MARIE  - 04 November 2022 02:55:15","ANTHONY",,,,,,,,,,,,,"0000-00-00",,,,,"KITCHEN WARE: MINA DADULA- 0975-734-2543  Tel #: 880-1100 loc 2518/ Sharalyn Luis-Granda- Glassware-Cellphone #: +639351873736; +639212199226/ Telephone #: 830-1900 local 2431
",,,"YES",,"LESS 10%","3 SETS W/ P.O","WAREHOUSE ADD: BLDG.5 DHL LOGISTICS CENTRE, KM 17 WEST SERV. ROAD SOUTH SUP HI WAY BICUTAN PARANAQUE","SCHEDULE BEFORE DELIVER: 0919-0841785 MIMAI MERCADO",,,,,,,,,,,,,,,"1.50%",,"mdadula05.allhome@gmail.com /sharalyn.luis@allhome.ph",,,,,,,,,,,,,"5",,,"30"
